idx,baseline_x,baseline_y,rl_x,rl_y,baseline_label,rl_label
56,224.02,0.3414800455478106,224.02,0.315626300245363,baseline:los_exposed_ema,rl:csv:los_exposed_ema
57,228.02,0.34222597454689213,228.02,0.31654845683476895,baseline:los_exposed_ema,rl:csv:los_exposed_ema
58,232.02,0.3422544536853782,232.02,0.3158291854299329,baseline:los_exposed_ema,rl:csv:los_exposed_ema
59,236.02,0.34241303524139166,236.02,0.3190709741848847,baseline:los_exposed_ema,rl:csv:los_exposed_ema
60,240.02,0.3432179614372057,240.02,0.31839023027463215,baseline:los_exposed_ema,rl:csv:los_exposed_ema
61,244.02,0.3416950878043047,244.02,0.32026474200457145,baseline:los_exposed_ema,rl:csv:los_exposed_ema
62,248.02,0.33931654896846886,248.02,0.3218557555401898,baseline:los_exposed_ema,rl:csv:los_exposed_ema
63,252.02,0.3394920330962929,252.02,0.31746584504668796,baseline:los_exposed_ema,rl:csv:los_exposed_ema
64,256.02,0.3428034925386914,256.02,0.3167821014524888,baseline:los_exposed_ema,rl:csv:los_exposed_ema
65,260.02,0.34239255495782184,260.02,0.32316100063827013,baseline:los_exposed_ema,rl:csv:los_exposed_ema
66,,,264.02,0.3227004149337755,baseline:los_exposed_ema,rl:csv:los_exposed_ema
67,,,268.02,0.3228316892426489,baseline:los_exposed_ema,rl:csv:los_exposed_ema
68,,,272.02,0.31935003151483027,baseline:los_exposed_ema,rl:csv:los_exposed_ema
69,,,276.02,0.31909939909810303,baseline:los_exposed_ema,rl:csv:los_exposed_ema
70,,,280.02,0.32272169283838925,baseline:los_exposed_ema,rl:csv:los_exposed_ema
